"","state.name","state.division","state.area"
"1","Alabama","East South Central",51609
"2","Alaska","Pacific",589757
"3","Arizona","Mountain",113909
"4","Arkansas","West South Central",53104
"5","California","Pacific",158693
"6","Colorado","Mountain",104247
"7","Connecticut","New England",5009
"8","Delaware","South Atlantic",2057
"9","Florida","South Atlantic",58560
"10","Georgia","South Atlantic",58876
"11","Hawaii","Pacific",6450
"12","Idaho","Mountain",83557
"13","Illinois","East North Central",56400
"14","Indiana","East North Central",36291
"15","Iowa","West North Central",56290
"16","Kansas","West North Central",82264
"17","Kentucky","East South Central",40395
"18","Louisiana","West South Central",48523
"19","Maine","New England",33215
"20","Maryland","South Atlantic",10577
"21","Massachusetts","New England",8257
"22","Michigan","East North Central",58216
"23","Minnesota","West North Central",84068
"24","Mississippi","East South Central",47716
"25","Missouri","West North Central",69686
"26","Montana","Mountain",147138
"27","Nebraska","West North Central",77227
"28","Nevada","Mountain",110540
"29","New Hampshire","New England",9304
"30","New Jersey","Middle Atlantic",7836
"31","New Mexico","Mountain",121666
"32","New York","Middle Atlantic",49576
"33","North Carolina","South Atlantic",52586
"34","North Dakota","West North Central",70665
"35","Ohio","East North Central",41222
"36","Oklahoma","West South Central",69919
"37","Oregon","Pacific",96981
"38","Pennsylvania","Middle Atlantic",45333
"39","Rhode Island","New England",1214
"40","South Carolina","South Atlantic",31055
"41","South Dakota","West North Central",77047
"42","Tennessee","East South Central",42244
"43","Texas","West South Central",267339
"44","Utah","Mountain",84916
"45","Vermont","New England",9609
"46","Virginia","South Atlantic",40815
"47","Washington","Pacific",68192
"48","West Virginia","South Atlantic",24181
"49","Wisconsin","East North Central",56154
"50","Wyoming","Mountain",97914
